comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
DE_NT-BT_1949__CO|AfKomPol;DE_NT-BT_1949;Ausschuss für Kommunalpolitik;CO;NA;AfKomPol;NA;NC;20mar1952;05oct1953
DE_NT-BT_1953__CO|AfKomPol;DE_NT-BT_1953;Ausschuss für Kommunalpolitik;CO;NA;AfKomPol;NA;NC;06oct1953;14oct1957
DE_NT-BT_1957__CO|AfKomPolOef;DE_NT-BT_1957;Ausschuss für Kommunalpolitik und öffentliche Fürsorge;CO;NA;AfKomPolÖf;NA;NC;15oct1957;16oct1961
DE_NT-BT_1965__CO|AfKomPolRaStBaWoWe;DE_NT-BT_1965;Ausschuss für Kommunalpolitik, Raumordnung, Städtebau und Wohnungswesen;CO;NA;AfKomPolRaStBaWoWe;NA;NC;19oct1965;19oct1969
DE_NT-BT_1949__CO|AfKriOuGe;DE_NT-BT_1949;Ausschuss für Kriegsopfer- und Kriegsgefangenenfragen;CO;NA;AfKriOuGe;NA;NC;07sep1949;05oct1953
DE_NT-BT_1953__CO|AfKriOuHeKe;DE_NT-BT_1953;Ausschuss für Kriegsopfer- und Heimkehrerfragen;CO;NA;AfKriOuHeKe;NA;NC;06oct1953;14oct1957
DE_NT-BT_1957__CO|AfKriOuHeKe;DE_NT-BT_1957;Ausschuss für Kriegsopfer- und Heimkehrerfragen;CO;NA;AfKriOuHeKe;NA;NC;15oct1957;16oct1961
DE_NT-BT_1961__CO|AfKriOuHeKe;DE_NT-BT_1961;Ausschuss für Kriegsopfer- und Heimkehrerfragen;CO;NA;AfKriOuHeKe;NA;NC;17oct1961;18oct1965
DE_NT-BT_1965__CO|AfKriVerf;DE_NT-BT_1965;Ausschuss für Kriegs- und Verfolgungsschäden;CO;NA;AfKriVerf;NA;NC;19oct1965;19oct1969
DE_NT-BT_1998__CO|AfKulMed;DE_NT-BT_1998;Ausschuss für Kultur und Medien;CO;NA;AfKulMed;NA;NC;26oct1998;16oct2002
DE_NT-BT_1949__CO|AfKulPol;DE_NT-BT_1949;Ausschuss für Kulturpolitik;CO;NA;AfKulPol;NA;NC;07sep1949;05oct1953
