"","x"
"916",0.253521126760563
"917",0.265625
"918",0.267605633802817
"919",0.125
"920",0.1875
"921",0.3125
"922",1.3125
"923",1.25
"924",0.875
"925",1.66666666666667
"926",1.66666666666667
"927",1.2
"928",1.4
"929",1.25
"930",1
"931",1.66666666666667
"932",1.27272727272727
"933",1.36363636363636
"934",0.818181818181818
"935",1
"936",1.45454545454545
"937",1.36363636363636
"938",1.63636363636364
"939",1.27272727272727
"940",1.09090909090909
"941",1.09090909090909
"942",9
"943",7
"944",7.25
"945",5.6
"946",5.6
"947",6
"948",4.75
"949",4.5
"950",3.4
"951",6
"952",0.5
"953",1
"954",0.0588235294117647
"955",1.92307692307692
"956",0.823529411764706
"957",0.65
"958",0.0625
"959",2
"960",0.80952380952381
"961",0
"962",0.222222222222222
"963",0.615384615384615
"964",1.5
"965",1
"966",0.846153846153846
"967",0.333333333333333
"968",0.5
"969",0.4
"970",1.83333333333333
"971",1
"972",1
"973",0.904761904761905
"974",0.888888888888889
"975",1
"976",1.6
"977",0.25
"978",1
"979",0.5
"980",0.444444444444444
"981",0.666666666666667
"982",0.896551724137931
"983",0.387755102040816
"984",0.6
"985",0.625
"986",0.806451612903226
"987",0.705882352941177
"988",0.761904761904762
"989",0.625
"990",0.625
"991",0.661538461538462
"992",0.611111111111111
"993",0.2375
"994",0.543478260869565
"995",0.60377358490566
"996",0.625
"997",0.370786516853933
"998",0.194444444444444
"999",0.152542372881356
"1000",0.592592592592593
"1001",0.772727272727273
"1002",0.538461538461538
"1003",0.571428571428571
"1004",0.916666666666667
"1005",0.285714285714286
"1006",0.666666666666667
"1007",0.666666666666667
"1008",0.25
"1009",0.712121212121212
"1010",0.857142857142857
"1011",0.315789473684211
"1012",0.333333333333333
"1013",0.5
"1014",0.615384615384615
"1015",0.5
"1016",0.9
"1017",0.5
"1018",0.466666666666667
"1019",0.833333333333333
"1020",0.42
"1021",0.263157894736842
"1022",0.818181818181818
"1023",0.826086956521739
"1024",0.75
"1025",0.666666666666667
"1026",0.56
"1027",0.363636363636364
"1028",0.620689655172414
"1029",0.470588235294118
"1030",0.333333333333333
"1031",0.25
"1032",0.56
"1033",0.607142857142857
"1034",0.285714285714286
"1035",0.416666666666667
"1036",0.416666666666667
"1037",0.545454545454545
"1038",0.4
"1039",0
"1040",0
"1041",0
