Aaron
Emmanuel
Manuela
Manuel
Emmanuel
Iii
Marcel
Marcellus
Marcellus
Marcus
Marco
Mark
Maria
Mary
Marie
Maria
Mario
Marius
Marius
Mars
Maria
Markus
Mark
Martin
Mars
Marvin
Mervyn
Marwin
Marvin
Marzell
Marcellus
Mathias
Matthias
Mathis
Matthias
Matthew
Matthias
Matthew
Mattias
Matthias
Max
Maximilian
Maxwell
Maks
Maxi
Maximiliano
Maximiliane
Maximilian
Maximilian
Maximus
Iii
Emiliano
Meine
Meinhard
Meginhard
Meino
Meine
Meinrad
Menno
Meine
Merten
Martin
Micha
Micah
Micha
Michael
Michaela
Michael
Michel
Michael
Michael
Michi
Michael
Michaela
Moritz
Maurice
Mose
Moses
Nickolaus
Nikolaus
Nico
Nicholas
Nicodemus
Nicolaus
Nicholas
Nikolaus
Niklas
Nicholas
Niklaus
Nicholas
Niko
Nicholas
Nikolaus
Nicholas
Noah
Norbert
Olaf
Oliver
Alfher
Olaf
Ortwin
Oskar
Oscar
Oswald
Othmar
Otmar
Otmar
Ottmar
Otmar
Otto
Ottokar
Odovacar
Ottomar
Otmar
Pankraz
Pancratius
Parsifal
Percival
Pascal
Patrick
Paul
Peter
Petrus
Peter
Philipp
Philip
Poldi
Leopold
Quirin
Quirinus
Rafael
Raphael
Raffael
Raphael
Raimund
Raymond
Rainer
Rayner
Ralf
Ralph
Ralph
Raphael
Reimund
Raymond
Reiner
Rayner
Reinhard
Reynard
Reinhardt
Reynard
Reinhold
Reynold
Renatus
Reto
Richard
Robert
Rochus
Rocco
Rodolf
Rudolf
Roger
Roland
Rolf
Rudolf
Roman
Ronald
Ragnvaldr
Rudi
Rudolf
Roger
Rudolf
Ruedi
Rudolf
Rupert
Robert
Ruprecht
Rupert
Samuel
Sascha
Sasha
Sebastian
Sepp
Joseph
Seppel
Joseph
Severin
Severinus
Siegbert
Iii
Sieger
Siegfried
Sieghard
Siegmar
Siegmund
Sigmund
Siegward
Sigurd
Sievert
Siegward
Siegfried
Sigi
Siegfried
Sieglinde
Sigismund
Sigmund
Sigmund
Silvester
Simon
Simon
Stefan
Stephen
Steffen
Stephen
Stephan
Stephen
Sven
Sylvester
Silvester
Theodor
Theodore
Teodor
Theophil
Theophilus
Thiemo
Timo
Thilo
Tilo
Thomas
Thorben
Torben
Thorsten
Torsten
Tiedemann
Till
Dietrich
Tillo
Tilo
Tilo
Dietrich
Tim
Timothy
Dietmar
Timo
Timothy
Timo
Dietmar
Timotheus
Timothy
Tobias
Tobiah
Tom
Thomas
Toni
Anttoni
Antun
Torben
Torsten
Thor
Traugott
Udo
Otto
Ueli
Ulrich
Ulli
Ulrich
Ulrike
Ulrich
Urban
Urs
Utz
Ulrich
Uwe
Ove
Valentin
Valentine
Veit
Vitus
Wido
Viktor
Victor
Vinzent
Vincent
Vinzenz
Vincent
Volker
Waldemar
Vladimir
Waldo
Walter
Walther
Walter
Wendel
Wendelin
Wendel
Wenzel
Wenzeslaus
Werner
Werther
Wessel
Werner
Wetzel
Werner
Wiebe
Wiegand
Wigand
Wieland
Wilfried
Wilfred
Wilhelm
William
Willi
Wilhelm
Willy
William
Wilhelm
Willem
Wim
Willem
Wilhelm
Winfried
Winfred
Witold
Vytautas
Widald
Wolf
Wolfgang
Wolfram
Wolfgang
Wolfram
Wulf
Wolf
Xaver
Xavier
