Abigail
Marcellus
Mareike
Maria
Margareta
Margaret
Margarete
Margaret
Margaretha
Margaret
Margarethe
Margaret
Margit
Margaret
Margrit
Margaret
Maria
Mary
Marianne
Marie
Marie
Anne
Marie
Maria
Mariele
Maria
Marietta
Maria
Marina
Marinus
Marita
Maria
Marlen
Marlene
Marlene
Maria
Magdalene
Marlies
Maria
Lies
Marlis
Maria
Liese
Marta
Martha
Martha
Martina
Martin
Mathilde
Matilda
Maxi
Maximiliano
Maximiliane
Maximilian
Maximiliane
Maximilian
Mechthild
Mathilde
Mechtilde
Mathilde
Meike
Maria
Melanie
Melitta
Melissa
Meta
Margaret
Mia
Maria
Micha
Michael
Michaela
Michaela
Michael
Michi
Michael
Michaela
Minna
Wilhelmina
Miriam
Mary
Mirjam
Miriam
Mitzi
Maria
Monika
Monica
Nadine
Nadia
Nadja
Nadya
Natalia
Natalie
Natalie
Nathalie
Natalie
Nele
Cornelia
Nicol
Nicole
Nicola
Nicholas
Nicole
Nicholas
Nikola
Nicholas
Nina
Antonina
Giannina
Noemi
Naomi
Nora
Honora
Eleanor
Oda
Otto
Odilie
Odilia
Olga
Helga
Olivia
Oliva
Oliver
Ortrun
Ottilie
Odilia
Patricia
Patrick
Paula
Paul
Pauline
Paulino
Petra
Peter
Philippa
Philip
Philippina
Philippa
Philomena
Phyllis
Pia
Pius
Priska
Prisca
Rachel
Raffaela
Raphael
Raimunde
Raymond
Raphaela
Raphael
Rebekka
Rebecca
Regina
Regine
Regina
Regula
Reinhild
Reinhilde
Reinhild
Renata
Renatus
Renate
Renatus
Ria
Maria
Ricarda
Richard
Rike
Friederike
Henrike
Rita
Margherita
Romy
Rosemarie
Rosemary
Rosa
Rose
Roza
Rosalie
Rosalia
Rosemarie
Rosemary
Rosmarie
Rosemarie
Roswitha
Ruth
Sabine
Sabina
Sabrina
Salome
Sandra
Alessandra
Sara
Sarah
Sarah
Sascha
Sasha
Saskia
Schwanhild
Swanhild
Selma
Anselma
Senta
Kreszentia
Seraphina
Sibylla
Sibyl
Sibylle
Sibyl
Sieghild
Sieglinde
Sigi
Siegfried
Sieglinde
Silke
Celia
Cecilia
Silvia
Silvius
Simone
Simon
Sofia
Sophia
Sofie
Sophie
Sonja
Sonya
Sonje
Sonja
Sophia
Sophie
Sophia
Stefanie
Stephanie
Steffi
Stephanie
Steffie
Stephanie
Stella
Stephanie
Stephen
Susann
Susanne
Susanne
Susanna
Suse
Susanne
Susi
Susanne
Svenja
Sven
Swanhild
Swanhilda
Swanhild
Swanhilde
Swanhild
Sybille
Sibyl
Sylvia
Silvia
Tabea
Tabitha
Tanja
Tanya
Tatiana
Tatius
Tatjana
Tatiana
Teresa
Theresa
Thea
Dorothea
Theodora
Theda
Theodora
Thekla
Theresa
Therese
Theresa
Theresia
Theresa
Thora
Traudl
Gertraud
Waltraud
Trudi
Gertrude
Ulla
Ulrika
Hulda
Ursula
Ulli
Ulrich
Ulrike
Ulrike
Ulrich
Ursel
Ursula
Ursula
Uschi
Ursula
Ute
Udo
Valentina
Valentine
Valeria
Valerius
Valerie
Valeria
Valeska
Valeria
Vanessa
Vera
Verena
Berenice
Veronika
Veronica
Victoria
Victorius
Viktoria
Victoria
Viktoriya
Viktoryia
Vilma
Wilma
Viola
Vreni
Verena
Walburga
Waltraud
Waltraut
Waltraud
Wanda
Wenke
Wibke
Wiebe
Wiebke
Wiebe
Wilhelmina
Wilhelm
Wilhelmine
Wilhelm
Willy
William
Wilhelm
Willem
Wilma
Wilhelmina
Yvonne
Yvon
Zella
Marcella
Zenzi
Kreszenz
Zilla
Ziska
Franziska
Zita
Zoe
Eve
Zoe
